English,Acoli,Luganda,Lumasaaba,Runyakore,Kiswahili
Motorcycles cause a lot of traffic jam in the city center.,Pikipiki kelo pong pa gudu idye cwiny citi.,Bboodabooda zireetawo omugotteko gw'ebidduka mu kibuga wakati.,Tsi piki piki tsi rerawo khusimama namwe khukenda mbola khwebitima atwela akari e sirimba sikhulu,Pikipiki nizireetaho omwijuzo gw'ebiiruka ahagati y'orurembo.,Pikipiki husababisha trafiki nyingi katikati mwa jiji.
We had more than ten contestants for the presidential seat this year.,Wabedo ki lucungo me bedo kom ladit lobo makato apar i mwakani.,Twalina abantu abasukka mu kkumi abaavuganya ku kifo ky'obukulembeze bw'eggwanga omwaka guno.,Khwoba ni babekanisa indebbe ye burangilisi bwe linambo baminya likhumi mu khurobola kumwiko kuno,"Omwaka ogu, tubaire twine abantu ikumi ababaire beesimbireho ahabwa mukuru w'eihanga.",Tulikuwa na wagombea zaidi ya kumi kwa kiti cha rais mwaka huu.
This year's swearing-in ceremony had a small audience because of the pandemic.,Dano obedo nok iwonge me dony i opici imwaka man pi two me loboni.,Omukolo gw'okulayira ogw'omwaka guno gwaliko abantu batono olw'ekirwadde ssaanya.,Khukhwitsubisa umurangilisi we linambo kumwiko kuno khwo ba ni babandu bafwitti khulwe lukhenene,Omukoro gw'okurahira ogw'omwaka ogu gubaire guriho abantu bakye ahabw'omuzibwe.,Sherehe ya kuapa ya mwaka huu ilikuwa na hadhira ndogo kwa sababu ya janga.
Maize prices have fallen this year.,Wel lanywagi opoto i mwakani.,Emiwendo gya kasooli gisse omwaka guno.,Kamakulana ka nasimya kakwile kumwiko kuno,"Omwaka ogu, emihendo y'ebicoori eshuumire .",Bei ya mahindi imeshuka mwaka huu.
Rural farmers have poor storage facilities for their harvest.,Lupur ma i caro pe ki kagwoko kacgi maber.,Abalimi b'omu byalo balina amaterekero g'ebirime ag'ekiboggwe.,Balimi be musyalo sibali ni birara bibi linda bi kesee bulayi taa,Abahingi b'omu byaro baine amabiikiro mabi g'ebihingwa byabo.,Wakulima wa vijijini wana vifaa duni vya kuhifadhi kwa mavuno yao.
Water is very useful to people all over the world.,Pii pire tek mada bot dano me wilobo kulu.,Amazzi ga mugaso nnyo eri abantu okwetooloola ensi yonna.,Kametsi kali kekumukaso nabbi isi babandu musibala syosi,Amaizi ni kikuru munonga aha magara g'abantu omunsi yoona.,Maji ni muhimu sana kwa watu ulimwenguni kote.
The government has constructed boreholes in many parts of the country.,Gamente okwinyo tangi i kabedo mapatpat me loboni.,Gavumenti ezimbye nayikondo mu bitundu by'eggwanga bingi.,Linambo lyombekhele bibyuma birusa kametsi khukhwama mwiloba mubifo bimalatane mwinambo,Gavumenti eyombekire amaizi ga rwecunda omu bicweka bingi by'eihanga.,Serikali imeunda mashimo katika sehemu nyingi za nchi.
Rainfall is one of the main sources of water.,Kot tye ikin jami madongo makelo pii.,Enkuba y'emu ku nsulo z'amazzi enkulu.,Ifula ili khubitwela bibi khuwa/birera kamets,Enjura ni bumwe aha burugo bukuru bw'amaizi.,Mvua ni moja wapo ya vyanzo kuu vya maji.
Several health centers in villages have unqualified workers.,Odi yen mapol ata ikin gang tye ki lutic ma pe opwonye me timo tic meno.,Amalwaliro agasinga mu byalo galina abakozi abatali batendeke.,bukangilo bukali musyalo sibuli ni bakangi balekele taa,Amarwariro maingi g'omu byaro tigaine bashaho batendekirwe.,Vituo kadhaa vya afya katika vijiji vina wafanyikazi wasio na sifa.
A certain woman died while giving birth yesterday.,Dako moni otoo ki nyodo laworo.,Omukyala omu yafudde eggulo ng'azaala.,Aliwo umukyelema uwofwile ingoolobe ngali khusaala,Omukazi omwe afiire naazaara nyomwebazyo.,Mwanamke fulani alikufa wakati akizaa jana.
Our country joined the United Nations in one thousand nine hundred sixty two.,Lobowa  odonyo i United Nations i mwaka alip acel ki pyere abicel wiye aryo.,Eggwanga lyaffe lyeyunga ku kakiiko k'amawanga amagatte mu 1962.,Linambo lyefwe lyetubasa khu ma nambo kali atwela mu mwiko sikana sitwela ni bimya syenda na kasesaba,Ensi yaitu ekeegaita aha mahanga geeteeraine rukumi rwenda nkaaga n'ebiri.,Nchi yetu ilijiunga na Umoja wa Mataifa katika elfu moja mia tisa sitini na mbili.
The government distributed mosquito nets across the country to reduce the spread of malaria.,Gamente opoko obwoo ober kaducu me dwoko nyaa pa maleria piny.,Gavumenti yagaba obutimba bw'ensiri okwetooloola eggwanga okusobola okukendeeza okusaasaana kw'omusujja gw'ensiri.,Linambo lyekabile babandu butimba bwekhukonamo khukhwikhinga bulwale buburerebwa ni bikuntsyiu mwinambo lysoi,Gavumenti akagaba obutimba bw'ensiri omu ihanga ryona  kucendeeza aha kujanjara kw'oburweire bw'omushwija.,Serikali ilisambaza nyavu za mbu kote nchini ili kupunguza kuenea kwa ugonjwa wa malaria.
Some pharmacies sell expired drugs.,Ot cato yat mukene cato yen ma kargi okato woko.,Amatundiro g'eddagala agamu gatunda eddagala eriyiseeko.,kamakulanilo ke kamalesi kamasambametsi kakandi kakulisa kamalesi kakatuma imbuka yako,Amaduuka g'emibazi agamwe nigaguza emibazi ehwaireho.,Maduka mengine ya dawa huuza dawa za kumalizika muda.
My friend works for a television company.,Larema tiyo ikampuni me telebijon.,Mukwano gwange akolera kitongole kya terefayina.,Umusale wase arambila khu telefaina,Munywani wangye naakora aha kampuni ya tiivi,Rafiki yangu anafanya kazi kwa kampuni ya runinga.
Fire outbreaks cause losses to business owners.,Wang pa mac atura kelo rwenyo pa lonyo ki icing wegi biacara.,Omuliroogukwata ebizimbe guleetera bannannyini bbiizineesi okufiirizibwa.,Kumulilo kukhali kumwirkekhele kwonekesa bye kamakulana,Okubarukaho kw'omuriro nikureetera bakama ba bizinesi baafeerwa.,Kuvunja moto husababisha hasara kwa wamiliki wa biashara.
Electricity in our area is unstable.,Mac i kabedowa pe bedo.,Amasannyalaze mu kitundu ky'ewaffe gavaavaako.,Kumunyakasi mu sisinza syefwe kutumbukhamo,"Omu kyaro kyaitu, amashanyarazi nigakira kurugarugaho.",Umeme katika eneo letu hauna msimamo.
Police plays an important role in keeping order among citizens.,Abili tiyo tic mapire tek me gwoko bedo maber ikin dano me lobo moni.,Ppoliisi ekola omulimu munene okukuuma obutebenkevu mu bannansi.,Balinda lukoosi bali ni syesi bakhola sikali khubona nga babandu si bali mubisayumba taa,Pooriisi neekora omurimo muhango omu kureetaho obutebeekana omu batuuragye.,Polisi wana jukumu muhimu katika kuweka utaratibu kati ya raia.
Women enjoy playing netball in our country.,Mon nongo mit pa tuku netbol i lobowa.,Abakazi banyumirwa nnyo omuzannyo gw'okubaka omupiira mu ggwanga lyaffe.,Bakhasi basangalila mumwinyawo kwe khu kaama mwinambo lyefwe,"Omu ihanga ryaitu, abakazi nibakunda kuzaana omupiira gw'engaro. ",Wanawake wanafurahiya kucheza mpira wa wavu katika nchi yetu.
Universities promote students' talents through sports and games.,Yunivaciti ilo malo diro pa lutino kwan ki tuku mapatpat.,Ssettendekero zitumbula ebitone by'abayizi nga ziyita mu byemizannyo.,Kamalekelo ke angaki kapilisa ate kayeta babana bali ni bilabo bye burawa muminyawo ki kesemulisa ni ki khakesemulisa taa,Za univaasite nizitunguura entaranta z'abeegi kurabira omu mizaano.,Vyuo vikuu vinakuza vipaji vya wanafunzi kupitia michezo na michezo.
The electoral commission registers new political parties every presidential term.,Dul ma Loyo Yer coyo pati manyen ikare ducu me yero ladit lobo.,Akakiiko k'ebyokulonda kawandiika ebibiina by'ebyobufuzi ebipya buli kisanja kya bwa pulezidenti.,Lituuli li yila bye khurobola mwinambo liwandikhisa kamatuuli ke byebuwuli kamaya buli mwiko aali khurobola khwe umurangilisi we linamb,Ekitongore kya gavumenti ekirikukurira oburuuru omu ihanga  nikihandiika ebibiina bisya by'ebyobutegyeki  buri ncuro y'okuronda mukuru w'eihanga.,Tume ya uchaguzi inasajili vyama vipya vya siasa kila muhula wa rais.
People are free to join any political party of their choice.,Dan tye agonya me donyo i pati ma gimito.,Abantu balina eddembe okwegatta ku kibiina ky'ebyobufuzi kye baagala.,Babandu bali be lukoosi khu khwitubasa mu matuli ke byebuwuli kosi kesi bandikanile khukhwitubasamo,Abantu nibaikirizibwa kwegaita aha kibiina ky'eby'obutegyeki eki barikwenda.,Watu wako huru kujiunga na chama chochote cha siasa cha chaguo lao.
No one is above the law in this country.,Pe tye ngat mo ma kato cik ilobo man.,Tewali ali waggulu wa mateeka mu ggwanga lino.,Mbawo uli angaki e kamakambila kakayila linambo lino ta,"Omu ihanga eri, tihaine ori ahaiguru y'ebiragiro.",Hakuna mtu aliye juu ya sheria katika nchi hii.
